Company_ID,CompanyName,ESG Rating,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,F-01_value,F-01_value_keyword,F-01_unit,F-01_unit_keyword,F-02_value,F-02_value_keyword,F-02_unit,F-02_unit_keyword,E-01_value,E-01_value_keyword,E-01_unit,E-01_unit_keyword,E-02_value,E-02_value_keyword,E-02_unit,E-02_unit_keyword,E-03_value,E-03_value_keyword,E-03_unit,E-03_unit_keyword,E-04_value,E-04_value_keyword,E-04_unit,E-04_unit_keyword,E-05_value,E-05_value_keyword,E-05_unit,E-05_unit_keyword,E-06_value,E-06_value_keyword,E-06_unit,E-06_unit_keyword,E-07_value,E-07_value_keyword,E-07_unit,E-07_unit_keyword,S-01_value,S-01_value_keyword,S-01_unit,S-01_unit_keyword,S-02_value,S-02_value_keyword,S-02_unit,S-02_unit_keyword,S-03_value,S-03_value_keyword,S-03_unit,S-03_unit_keyword,S-04_value,S-04_value_keyword,S-04_unit,S-04_unit_keyword,S-05_value,S-05_value_keyword,S-05_unit,S-05_unit_keyword,S-06_value,S-06_value_keyword,S-06_unit,S-06_unit_keyword,S-07_value,S-07_value_keyword,S-07_unit,S-07_unit_keyword,S-08_value,S-08_value_keyword,S-08_unit,S-08_unit_keyword,S-09_value,S-09_value_keyword,S-09_unit,S-09_unit_keyword,G-01_value,G-01_value_keyword,G-01_unit,G-01_unit_keyword,G-02_value,G-02_value_keyword,G-02_unit,G-02_unit_keyword,G-03_value,G-03_value_keyword,G-03_unit,G-03_unit_keyword,G-04_value,G-04_value_keyword,G-04_unit,G-04_unit_keyword,G-05_value,G-05_value_keyword,G-05_unit,G-05_unit_keyword,G-06_value,G-06_value_keyword,G-06_unit,G-06_unit_keyword,G-07_value,G-07_value_keyword,G-07_unit,G-07_unit_keyword,G-08_value,G-08_value_keyword,G-08_unit,G-08_unit_keyword,,Sentiment_Score,,share_price,income,WACC,volatility,liquidity_ratio,beta_coefficient,GDP_growth,unemployment_rate
34,Kingdee International Software Group,A,82.433333,China,Information Technology,Software & Services,Application Software,EN,2022,4865.77,,Million  RMB,,0.148,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1487512.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,10855,, MWh,,85377,,cubic meters,,158008.6,,Metric Tons,,13029401.36,,MWh,,4.58,,,,12036,,,,31.78,,,,99.888,,,,11.49,,,,0,,,,29,,,,57701408,,USD,,0,,,,36,,,,10,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.737931034,,3.8,-2.09,7.21,16,1.75,1.59,3.1,5.6
35,Kingdee International Software Group,AA,83.2,China,Information Technology,Software & Services,Application Software,EN,2023,5679.07,,Million  RMB,,0.141,,,,228971.66,,metric tons CO2 equivalent ? MT CO2e,,1956970.92,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,12427.6,Purchased grid electricity consumption, MWh,kWh,16225830.2,,cubic meters,,230581.4,,Metric Tons,,128586.36,,MWh,,16.26,Employee turnover rate for the year,%,%,2346,Number of entrants during the year,Person,Person,33.78,Percentage of employees trained,%,%,100,By training type,%,%,16.2,Average hours of training for employees,Hour/person,Hour/person,0,Number of work-related deaths,Person,Person,25,Total number of days lost due to work-related injuries,Day(s),Day(s),183300,Total amount invested in public welfare activities,USD,RMB,0,,,,36,,,,0,corrupt practices,,,0,,,,1,GRI,,,1,External Certification,,,1,Sustainable Development Goals,,,,,,,1,Material Topics,,,,0.737931034,,3.18,-1.44,7.13,19,1.72,1.63,5.2,5.2
36,Tencent,BBB,64.6,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2020,69830,,Million  RMB,,0.145,,,,375648,,metric tons CO2 equivalent ? MT CO2e,,105956.51,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,189319.58,Purchased electricity, MWh,,1315803.67,,cubic meters,,5805.93,,Metric Tons,,13075710.4,,MWh,,12,,%,%,51350,,,,35.42,,%,,99.59,,%,,32,,,,0,,,,281,,,,12775950,,USD,,0,,,,36,,,,4.6,,,,0,,,,0,GRI,,,1,,,,1,,,,,,,,1,,,,,0.405333333,,66.1,224.82,8.25,36,1.73,1.1,2.2,5.2
37,Tencent,BBB,65.2,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2021,86820,,Million  RMB,,0.155,,,,190000,,metric tons CO2 equivalent ? MT CO2e,,2349000,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,430896,, MWh,,6201652,,cubic meters,,29850,,Metric Tons,,13075710.4,,MWh,,12.37,,%,,68226,,,,35.42,,%,,99.63,,%,,39.68,,,,0,,,,480,,,,5531950,,USD,,0,,,,36,,,,2,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.405333333,,75.2,188.24,8.52,35,1.91,1.37,8.4,5.1
38,Tencent,BBB,66.9,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2022,82410,,Million  RMB,,0.148,,,,172137.9,,metric tons CO2 equivalent ? MT CO2e,,2650073.3,,metric tons CO2 equivalent ? MT CO2e,,2917512.5,,metric tons CO2 equivalent ? MT CO2e,,138606,, MWh,,8152481.9,,cubic meters,,1051,,Metric Tons,,13075710.4,,MWh,,21.7,,%,,61328,,,,32,,%,,99.6,,%,,35.4,,,,1,,,,322,,,,8607680,,USD,,0,,,,36,,,,4.6,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.405333333,,48,115.22,7.87,30,2.02,1.23,3.1,5.6
39,Tencent,BB,60.275,China,Information Technology,Software & Services,Internet Services & Infrastructure,EN,2023,86050,,Million  RMB,,0.141,,,,275373.5,Scope 1 emissions,metric tons CO2 equivalent ? MT CO2e,tCO2e,2561328.3,Scope 2 emissions,metric tons CO2 equivalent ? MT CO2e,tCO2e,2957122,Scope 3 emissions,metric tons CO2 equivalent ? MT CO2e,tCO2e,5114669,Total electricity consumption, MWh,MWh,8191328.4,Water withdrawal,cubic meters,tonnes,16810.8,,Metric Tons,,6541286.36,,MWh,,17,Total turnover rate,%,%,56780,Total number of employees,,,33.78,,,,98.7,Percentage of employees who received training (by gender),%,%,60.908,,,,0,Number of work-related fatalities,,,576,Working days lost due to work-related injuries,,,48773019,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI Standard,,,1,third party,,,1,Sustainable Development Goals,,,,,,,1,material assessment,,,,0.405333333,,39.5,152.73,5.91,31,1.97,1.24,5.2,5.2
40,Infosys,AA,82.9,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2020,135610,,INR Million,,0.0135,,,,33740,,metric tons CO2 equivalent ? MT CO2e,,68673,,metric tons CO2 equivalent ? MT CO2e,,8068,,metric tons CO2 equivalent ? MT CO2e,,4142071.14,, MWh,,17562654.31,,cubic meters,,151627.6,,Metric Tons,,13102741.36,,MWh,,4.56,,,,259619,,,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,GRI Standard,,,1,,,,1,,,,,,,,1,,,,,0.665384615,,34.19,8.61,9.91,23,1.75,1.08,-6.6,8
41,Infosys,A,78.3,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2021,121641,,INR Million,,0.0135,,,,89650,,metric tons CO2 equivalent ? MT CO2e,,51717,,metric tons CO2 equivalent ? MT CO2e,,19695,,metric tons CO2 equivalent ? MT CO2e,,4142071.14,, MWh,,17562654.31,,cubic meters,,151627.6,,Metric Tons,,13102741.36,,MWh,,4.56,,,,314015,,,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.665384615,,52.05,10.88,10.49,24,1.79,1.13,8.7,5.98
42,Infosys,A,76.1,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2022,146767,,INR Million,,0.0127,,,,277519.32,,metric tons CO2 equivalent ? MT CO2e,,1487512.44,,metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,6600678.44,, MWh,,4498303.88,,cubic meters,,168383.8,,Metric Tons,,51554.69,,MWh,,6.92,,,,343232,,,,32,,,,98.74,,,,130.5,,,,0.2,,,,450.8,,,,57670188,,USD,,12,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.665384615,,64.33,12.62,10.64,21,1.77,1.17,7,7.33
43,Infosys,AA,79.5,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2023,153670,Revenues,INR Million,,0.0121,,,,277519.32,Scope 1,metric tons CO2 equivalent ? MT CO2e,tCO2e,558810,Scope 2,metric tons CO2 equivalent ? MT CO2e,tCO2e,180737,Scope 3,metric tons CO2 equivalent ? MT CO2e,tCO2e,4483144.44,, MWh,,1875975,Total water consumption-India,cubic meters,tonnes,203402.2,,Metric Tons,,6616701.36,,MWh,,6.92,,,,317240,Total number of employees,,,31.08,,,,98.74,,,,74.6,Average training hours for employees,,,0,No. of fatalities,,,450.8,,,,57670188,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI Standards,,,1,Third-party monitoring,,,1,Sustainable Development Goals,,,,,,,1,Materiality matrix,,,,0.665384615,,59.98,12.55,10.75,19,1.81,1.52,7.3,8
44,Wipro,A,72.5,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2020,622425,,INR Million,,0.0135,,,,228919.32,,metric tons CO2 equivalent ? MT CO2e,,1441512.44,,metric tons CO2 equivalent ? MT CO2e,,350336,,metric tons CO2 equivalent ? MT CO2e,,5962126.7,, MWh,,850151,,cubic meters,,272202,,Metric Tons,,128586.36,,MWh,,18.56,,,,201665,,,,34.32,,,,97.8,,,,47.92,,,,0,,,,281.8,,,,38948915,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.643333333,,4.94,11,9.84,30,1.31,1.23,-6.6,8
45,Wipro,A,77.6,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2021,795289,,INR Million,,0.0135,,,,281159.66,,metric tons CO2 equivalent ? MT CO2e,,1441512.44,,metric tons CO2 equivalent ? MT CO2e,,410203,,metric tons CO2 equivalent ? MT CO2e,,2419326.7,, MWh,,774036,,cubic meters,,58429.6,,Metric Tons,,13090175.96,,MWh,,6.82,,,,247073,,,,35.44,,,,90.68,,,,14.34,,,,0,,,,281.8,,,,25101180,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.643333333,,8.55,13.2,11.55,30,1.46,1.35,8.7,5.98
46,Wipro,BBB,68.2,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2022,909348,,INR Million,,0.0127,,,,228919.32,,metric tons CO2 equivalent ? MT CO2e,,1441512.44,,metric tons CO2 equivalent ? MT CO2e,,271793,,metric tons CO2 equivalent ? MT CO2e,,3823326.7,, MWh,,878000,,cubic meters,,272202,,Metric Tons,,128586.36,,MWh,,18.46,,,,249095,,,,37.02,,,,90.62,,,,43.54,,,,0,,,,229.4,,,,38948915,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.643333333,,6.37,12.4,12.9,23,1.54,1.22,7,7.33
47,Wipro,BBB,68.8,India,Information Technology,Software & Services,IT Consulting & Other Services,EN,2023,897943,Revenue,INR Million,,0.0121,,,,228971.66,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,172188,Scope 3 Emissions,metric tons CO2 equivalent ? MT CO2e,tons of CO2 eq,2429126.7,, MWh,,19000,Water Consumption,cubic meters,$ Mn,10000,Waste Generation,Metric Tons,$ Mn,144579.8,Renewable (Gen),MWh,MwH,23.822,,,,40182,New Hires,,,38.98,,,,83.066,,,,17.782,,,,0.4,,,,241.6,,,,30106915,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI,,,1,External assurance,,,1,SDG,,,,,,,1,materiality matrix,,,,0.643333333,,5.9,12.6,12.69,24,1.54,1.42,7.3,8
48,SEAGATE,BBB,72.6,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2020,1100,,Million SGD,,0.7239,,,,262445,,metric tons CO2 equivalent ? MT CO2e,,875773,,metric tons CO2 equivalent ? MT CO2e,,9909200,,metric tons CO2 equivalent ? MT CO2e,,1625000,, MWh,,2479000,,cubic meters,,19897,,Metric Tons,,9425,,MWh,,12.664,,,,6778,,,,37.28,,,,98.74,,,,6.61,,,,0,,,,137,,,,10302775,,USD,,0,,,,36,,,,6.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.761445783,,55.34,1.02,9.13,30,1.57,0.81,-5.4,4.1
49,SEAGATE,A,76.1,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2021,1846,revenue,Million SGD,,0.7442,,,,106000,carbon emission,metric tons CO2 equivalent ? MT CO2e,,315460,carbon emission,metric tons CO2 equivalent ? MT CO2e,,120661,carbon emission,metric tons CO2 equivalent ? MT CO2e,,13590.83,electricity, MWh,,19000,water usage,cubic meters,,2980,waste generated,Metric Tons,,4718.33,renewable source,MWh,,13,rate of leavers,-,,11760,total number of employees,-,,42,gender(all colleagues),-,,0.95,training (received a regular performance and career development review),-,,4.1,Average training days per employee,days,,0.4,,,,169,,,,12105320,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI,,,0,external assurance,,,1,goal,,,,,,,1,stakeholder engagement,,,,0.761445783,,83.24,1.31,9.35,32,1.61,1.05,7.6,3.9
50,SEAGATE,A,78.1,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2022,1949,revenue,Million SGD,,0.7255,,,,79830,carbon emission,metric tons CO2 equivalent ? MT CO2e,,243110,carbon emission,metric tons CO2 equivalent ? MT CO2e,,211377,carbon emission,metric tons CO2 equivalent ? MT CO2e,,11876.39,energy intensity, MWh,,21000,water usage,cubic meters,,4460,waste generated,Metric Tons,,5383.33,renewable source,MWh,,3.3,,,,88623.98,,,,33.46,,,,88.986,,,,13.852,,,,0.4,,,,290,,,,26228155,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI,,,0,external assurance,,,1,goal,,,,,,,1,materiality,,,,0.761445783,,89.45,1.65,9.54,37,1.73,1.06,3.6,3.6
51,SEAGATE,AA,82.5,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",EN,2023,1949,revenue,Million SGD,,0.7447,,,,79830,carbon emission,metric tons CO2 equivalent ? MT CO2e,,243110,carbon emission,metric tons CO2 equivalent ? MT CO2e,,211377,carbon emission,metric tons CO2 equivalent ? MT CO2e,,11876.39,energy intensity, MWh,,21000,water usage,cubic meters,,4460,waste generated,Metric Tons,,5383.33,renewable source,MWh,,3.3,,,,88623.98,,,,33.46,,,,88.986,,,,13.852,,,,0.4,,,,290,,,,26228155,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI,,,0,external assurance,,,1,goal,,,,,,,1,materiality,,,,0.761445783,,69.52,0.45,10.02,21,1.56,1.48,1.1,2.9
52,Canon,BBB,68.6,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2020,2300,,Million yen,,0.0094,,,,262000,,metric tons CO2 equivalent ? MT CO2e,,870000,,metric tons CO2 equivalent ? MT CO2e,,9908000,,metric tons CO2 equivalent ? MT CO2e,,1942222,, MWh,,9212000,,cubic meters,,114541,,Metric Tons,,12983097,,MWh,,2.1,,%,,187041,,,,16.1,,%,,91.174,,,,36.63,,,,0.4,,,,399,,,,31998228,,USD,,15,,,,36,,,,0,,,,0,,,,1,,,,0,,,,1,,,,,,,,1,,,,,0.722222222,,21.45,1.05,7.5,31,1.81,2,-4.3,2.8
53,Canon,BBB,67.75,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2021,1820,,Million yen,,0.0091,,,,123133,,metric tons CO2 equivalent ? MT CO2e,,816973,,metric tons CO2 equivalent ? MT CO2e,,6783000,,metric tons CO2 equivalent ? MT CO2e,,1808333,, MWh,,8426000,,cubic meters,,82237,,Metric Tons,,13029401.36,,MWh,,2,,%,,181897,,,,16.5,,%,,90.066,,,,52.988,,,,0.4,,,,293,,,,65568000,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.722222222,,25.8,1.95,7.7,30,1.91,2.29,2.6,2.8
54,Canon,BBB,72.4,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2022,2147,net income,Million yen,,0.0076,,,,228919.32,,metric tons CO2 equivalent ? MT CO2e,,1441512.44,,metric tons CO2 equivalent ? MT CO2e,,6626000,scope 3,metric tons CO2 equivalent ? MT CO2e,,1899722.22,electricity, MWh,,8560000,water consumption,cubic meters,,83906,waste generated,Metric Tons,,82627,renewable energy,MWh,,1.9,Voluntary turnover rate,,,184034,employees,-,,32.3,,,,91.066,,,,35.654,,,,0.2,,,,281.8,,,,10010195,,USD,,0,,,,36,,,,2,,,,0,privacy infringement complaints,,,1,GRI,,,1,Third-party Assurance,,,1,Sustainable Development Goals,,,,,,,1,Materiality-based Approach,,,,0.722222222,,23.9,2.35,8,30,1.99,2.33,1,2.6
55,Canon,AA,84.4,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",EN,2023,4080,,Million yen,,0.0071,,,,159899,scope 1,metric tons CO2 equivalent ? MT CO2e,,861428,scope 2,metric tons CO2 equivalent ? MT CO2e,,7320244,Scope 3,metric tons CO2 equivalent ? MT CO2e,,1999722,Energy Consumption, MWh,,8397243,Water consumption,cubic meters,,88732,Waste Generated,Metric Tons,,94793,Renewable Energy,MWh,,2,Voluntary turnover rate,,,180775,Number of Canon Group Employees,-,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,GRI,,,1,Third-party Opinion,,,1,Sustainable Development Goals,,,,,,,1,materiality,,,,0.722222222,,25.6,2.67,8.2,30,1.99,2.33,1.8,2.6
56,Omron,AAA,93.9,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,75000,,Million yen,,0.0094,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,7374071.14,, MWh,,1626000,,cubic meters,,152981.2,,Metric Tons,,13077785.4,,MWh,,4.68,,,,28006,,,,36.02,,,,89.63,,,,25.736,,,,0.4,,,,489.4,,,,34918184,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,0,,,,,0.803225806,,60.12,0.34,7.8,26,2.07,1.96,-4.3,2.8
57,Omron,AAA,93.4,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,43000,,Million yen,,0.0091,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,7374071.14,, MWh,,1382000,,cubic meters,,152981.2,,Metric Tons,,13077785.4,,MWh,,4.68,,,,28254,,,,36.02,,,,89.63,,,,25.736,,,,0.4,,,,489.4,,,,34918184,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,0,,,,,0.803225806,,84.3,0.51,8.1,28,2.16,1.86,2.6,2.8
58,Omron,AAA,92.2,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,63000,,Million yen,,0.0076,,,,281159.66,,metric tons CO2 equivalent ? MT CO2e,,1441512.44,,metric tons CO2 equivalent ? MT CO2e,,10401000,,metric tons CO2 equivalent ? MT CO2e,,4142071.14,, MWh,,1208000,,cubic meters,,151627.6,,Metric Tons,,13102741.36,,MWh,,4.56,,,,29020,,,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.803225806,,75.8,0.58,8.5,23,2.2,1.68,1,2.6
59,Omron,AAA,92.4,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,73900,Net Income,Million yen,,0.0071,,,,40000,Scope1,metric tons CO2 equivalent ? MT CO2e,,88000,Scope2,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,6260071.14,, MWh,,43912460,,cubic meters,,151627.6,,Metric Tons,,13077785.4,,MWh,,4.56,,,,28034,Number of employees,,,35.66,,,,97.144,,,,23.82,,,,0.2,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,GRI,,,1,third-party assessment,,,1,goals,,,,,,,1,,,,,0.803225806,,76.9,0.65,8.2,18,2.22,1.77,1.8,2.6
60,Delta,A,72.25,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,10058,,Million USD,,1,,,,14183,,metric tons CO2 equivalent ? MT CO2e,,163628,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,563281,, MWh,,1268300,,cubic meters,,39336.9,,Metric Tons,,310322,,MWh,,27.6,,%,,83804,,,,46.8,,%,,95.7,,%,,27.2,,hours,,0.2,,,,350.8,,,,9070000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,31,-12.39,8.1,37,1.87,0.71,2.2,5.2
61,Delta,AA,81.35,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,11275,,Million USD,,1,,,,17808,,metric tons CO2 equivalent ? MT CO2e,,133207,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,633500,, MWh,,1444800,,cubic meters,,50060.9,,Metric Tons,,386500,,MWh,,3,,%,,85593,,,,48.3,,%,,96.1,,%,,13.6,,hours,,1,,,,308.8,,,,11890000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,42,0.28,8.2,41,2.14,0.63,8.4,5.1
62,Delta,AA,81.75,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,12890,,Million USD,,1,,,,38807,,metric tons CO2 equivalent ? MT CO2e,,148838,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,709484,, MWh,,1404700,,cubic meters,,54162.9,,Metric Tons,,421548,,MWh,,3.9,,%,,86294.18,,,,32.78,,,,97,,%,,18.2,,hours,,0,,,,302.8,,,,9870000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,35,1.32,8.5,40,2.26,0.67,3.1,5.6
63,Delta,AA,81.2,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,13067,revenue,Million USD,,1,,,,26283,Scope 1,metric tons CO2 equivalent ? MT CO2e,,105992,Scope 2 Market-based,metric tons CO2 equivalent ? MT CO2e,,7160049,GHG Emissions Scope 3,metric tons CO2 equivalent ? MT CO2e,,747828,Total electricity, MWh,,1542600,Total Water Consumption,cubic meters,,49304,Total waste generation,Metric Tons,,568595,Renewable Electricity,MWh,,1.5,turnover rate,,,81855,the total number of employees,,,48.7,Gender Distribution,,,97.2,Completion Rate,%,,19,Average hours per FTE of training and development,hours,,1,employee fatality,,,324,,,,58647280,,USD,,0,,,,36,,,,0,corruption,,,0,infringement of customer privacy,,,1,Index of GRI Standards Indicators,,,1,External Assurance Statement and Report,,,1,net-zero goal,,,,,,,1,Materiality Assessment,,,,0.551578947,,42,4.61,8.7,31,2.23,1.22,5.2,5.2
64,SUNNY OPTICAL,BB,61.4,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,38002,,Million  RMB,,0.145,,,,281159.66,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,462945,, MWh,,2127012.6,,cubic meters,,10301,,Metric Tons,,13075710.4,,MWh,,16.846,,,,22409,,,,38.3,,%,,100,,%,,28.538,,,,2,,,,1450.7,,,,115130,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.642857143,,50,0.71,7.2,27,1.23,1.43,2.2,5.2
65,SUNNY OPTICAL,BBB,60.75,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,55400,,Million  RMB,,0.155,,,,259400,,metric tons CO2 equivalent ? MT CO2e,,380184,,metric tons CO2 equivalent ? MT CO2e,,3801840,,metric tons CO2 equivalent ? MT CO2e,,540418,, MWh,,2143303,,cubic meters,,8493,,Metric Tons,,13075710.4,,MWh,,13.974,,,,23149,,,,38.3,,%,,99.164,,,,33.138,,,,0,,,,1683,,,,190650,,USD,,0,,,,36,,,,6.6,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.642857143,,120,1.37,7.4,24,1.36,1.5,8.4,5.1
66,SUNNY OPTICAL,A,66.7,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,54200,,Million  RMB,,0.148,,,,487900,,metric tons CO2 equivalent ? MT CO2e,,362502,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,515283,, MWh,,2318717.1,,cubic meters,,8706,,Metric Tons,,13075710.4,,MWh,,25.818,,,,25550,,,,40.1,,%,,100,,%,,26.502,,,,0,,,,1535.6,,,,175857,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,0,,,,,,,,1,,,,,0.642857143,,105,0.66,7.8,25,1.51,1.32,3.1,5.6
67,SUNNY OPTICAL,A,75.066667,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,49100,,Million  RMB,,0.141,,,,512200,Greenhouse gas (Scope 1),metric tons CO2 equivalent ? MT CO2e,,378427.2,Greenhouse gas (Scope 2),metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,639457.5,Total indirect energy, MWh,,2639878.9,Water consumption,cubic meters,,78984,,Metric Tons,,101536.8,Green Electricity,MWh,,10.468,,,,29524,Number of employees,Person,,40,Proportion of female employees,%,,98.74,,,,52.7,Average training hours,Hour(s),,0,,,,2194,Working days lost due to work- related injuries,Day(s),,263638,Amount devoted,USD,,12,,,,36,,,,0,,,,0,,,,1,GRI Index,,,1,third-party agency,,,1,Major Targets,,,,,,,1,Materiality Assessment,,,,0.642857143,,75,0.18,8.1,28,1.59,0.97,5.2,5.2
